order_id,order_date,sku_id,product_name,final_ak_price,units_sold,quantity,customer_id,placed_gmv
134585,2022-05-18 07:14:09,619f2e47e1,Clinic Plus Strong & Long Sachet 960U X 6ml,710,1,1,68283,710
159875,2022-06-17 23:39:04,4105977f6e,Candzey Kachi Kerry 100g,21.6,25,1,41051,540
159875,2022-06-17 23:39:04,bf8a2de7e7,Candzey Orange Slices 100g,21.6,25,1,41051,540
159875,2022-06-17 23:39:04,b095d745f4,Candzey Mix Fruits 100g,21.6,25,1,41051,540
139504,2022-05-24 05:43:45,60686eeef8,Dermi Cool Prickly Heat Powder 150g + Dettol Cool Menthol 125g Free,98.75,6,1,43100,592.5
139504,2022-05-24 05:43:45,625a56a948,Glucon-D Instant Energy Health Drink Regular Refill 200g Free 50g,47.14,6,1,43100,282.84
139504,2022-05-24 05:43:45,6232ef8150,Glucon D Instant Energy Health Drink Nimbu Pani 200g,57.03,12,1,43100,684.36
139504,2022-05-24 05:43:45,611e059480,Ayur Herbal Shampoo Amla Shikakai with Reetha 1L,206.25,12,1,43100,2475
137533,2022-05-21 14:29:07,60686eeef8,Dermi Cool Prickly Heat Powder 150g + Dettol Cool Menthol 125g Free,92.88,24,1,83647,2229.12
137533,2022-05-21 14:29:07,6047406f63,Nycil Germ Expert Prickly Heat Powder Cool Gulabjal 150g + Nycil Cool Herbal 50g,95.47,36,1,83647,3436.92
137533,2022-05-21 14:29:07,605dca3f34,Nycil Germ Expert Prickly Heat Powder Cool Herbal 150g + Nycil Cool Herbal 50g,95.47,30,1,83647,2864.1
137533,2022-05-21 14:29:07,603ce42aae,Fogg Absolute Fragrance Body Spray 150ml,125,24,1,83647,3000
137533,2022-05-21 14:29:07,619ca2440e,Super Vasmol 33 Kesh kala Oil Based Hair Colour 100ml,49.8,21,1,83647,1045.8
